Date,daily_sum
2020-11-05T00:00:00Z,23
2020-11-06T00:00:00Z,36
2020-11-07T00:00:00Z,38
2020-11-08T00:00:00Z,12
2020-11-09T00:00:00Z,12
2020-11-10T00:00:00Z,27
2020-11-11T00:00:00Z,14
2020-11-12T00:00:00Z,42
2020-11-13T00:00:00Z,37
2020-11-14T00:00:00Z,46
2020-11-15T00:00:00Z,10
2020-11-16T00:00:00Z,6
2020-11-17T00:00:00Z,34
2020-11-18T00:00:00Z,45
2020-11-19T00:00:00Z,35
2020-11-20T00:00:00Z,41
2020-11-21T00:00:00Z,23
2020-11-22T00:00:00Z,14
2020-11-23T00:00:00Z,17
2020-11-24T00:00:00Z,38
2020-11-25T00:00:00Z,30
2020-11-26T00:00:00Z,49
2020-11-27T00:00:00Z,37
2020-11-28T00:00:00Z,38
2020-11-29T00:00:00Z,12
2020-11-30T00:00:00Z,12
2020-12-01T00:00:00Z,36
2020-12-02T00:00:00Z,44
2020-12-03T00:00:00Z,51
2020-12-04T00:00:00Z,28
2020-12-05T00:00:00Z,41
2020-12-06T00:00:00Z,35
2020-12-07T00:00:00Z,25
2020-12-08T00:00:00Z,75
2020-12-09T00:00:00Z,64
2020-12-10T00:00:00Z,64
2020-12-11T00:00:00Z,55
2020-12-12T00:00:00Z,49
2020-12-13T00:00:00Z,26
2020-12-14T00:00:00Z,40
2020-12-15T00:00:00Z,58
2020-12-16T00:00:00Z,48
2020-12-17T00:00:00Z,65
2020-12-18T00:00:00Z,49
2020-12-19T00:00:00Z,47
2020-12-20T00:00:00Z,16
2020-12-21T00:00:00Z,23
2020-12-22T00:00:00Z,43
2020-12-23T00:00:00Z,42
2020-12-24T00:00:00Z,126
2020-12-25T00:00:00Z,24
2020-12-26T00:00:00Z,14
2020-12-27T00:00:00Z,10
2020-12-28T00:00:00Z,30
2020-12-29T00:00:00Z,46
